Nr	3D-ObjectID	BurialNo	Category	Archaeological_element	CatalogueNo	Individual	Title	Description	Archaeological Project	Fieldseason	Year_digitized	Polygons	Decimated geometry	Digitization Method	Software Used	3D-X	3D-Y	3D-Z	Author	File-Format	Burial	Site	Period	Ceramic_period	Structure	Location	Arquitecture	Deposit	Reopening	Evidence_reopening	MNI	Associated objects	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification
12	PalSep_Model24	12	Bone	Cranium		Individual 12B	Bone: Incomplete Left Temporal Bone, Individual 12B from Burial 12	Incomplete left temporal bone of a male adult individual	PREP	2016	2021	1.020.755	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B12	Palenque, Group IV		Murciélagos-Balunté	J6	West side of J6 banister	Simple Crypt	Mixed	No		2	Two obsidian blades, vessel	S12B	Masculine	48-49 ys	Secondary	Disarticulated	Disarticulated																														
13	PalSep_Model27	17	Bone	Cranium		Individual 17A	Bone: Incomplete Cranium, Individual 17A from Burial 17	Reconstructed incomplete cranium of a child	PREP	2017	2021	1.033.377	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B17	Palenque, Group IV			J7	Front	Pit	Individual primary	No		1		S17A	Femenine	6 ys	Primary	Supine	Flexed																														
14	PalSep_Model35	23	Bone	Cranium		Individual 23A	Bone: Cranium, Individual 23A from burial 23	Cranium of a female adult individual	PREP	2017	2021	1.862.520	99.000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B23	Palenque, Group IV		Murciélagos-Balunté	J6	West side  	Elaborate Crypt	Individual primary	Yes?	Open slab	1	jade beads, bone needle, spindle whorl, obsidian blade, cuenta de jadeita en la mano derecha, otras dos cuentas de jadeita debajo del cráneo, aguja de hueso debajo del cráneo; un malacate plano en el sur (pies); obsidiana?	S23A	Femenine	55-60 ys	Primary	Supine	Extended	20 E																													
15	PalSep_Model40	4	Artefact	Vessel	7_401		Artefact: Incomplete ceramic bowl from Burial 4	Restored incomplete thin-walled ceramic bowl (cajete) 	PREP	2016	2021	124.086	99.000	Photogrammetry	Agisoft Metashape Pro	601000,316	1933360,925	96,636	Mirko De Tomassi	OBJ	B4	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Partial covering	3	 Two vessels, stingray spine, four bone needles																																				
16	PalSep_Model41	10	Artefact	Vessel	42_401		Artefact: Ceramic bowl from Burial 10	Restored ceramic bowl decorated with four bands of incised lines	PREP	2016	2021	239.978	99.000	Photogrammetry	Agisoft Metashape Pro	601002,418	1933362,531	96,114	Mirko De Tomassi	OBJ	B10+9	Palenque, Group IV		Murciélagos-Balunté	J6	West side of J6 banister	Box	Collective secondary	Yes?	Bones beneath the wall of the box	4?	Vessel, four oliva shells, spindle whorl, jade bead, possibly sherds of more vessels																																				
17	PalSep_Model42	12	Artefact	Vessel	44_401		Artefact: Ceramic bowl from Burial 12	Thin-walled ceramic bowl (cajete)	PREP	2016	2021	770.784	99.000	Photogrammetry	Agisoft Metashape Pro	601001,272	1933364,000	96,364	Mirko De Tomassi	OBJ	B12	Palenque, Group IV		Murciélagos-Balunté	J6	West side of J6 banister	Simple Crypt	Mixed	No		2	Two obsidian blades, vessel																																				
18	PalSep_Model43	11	Artefact	Vessel	36_418		Artefact: Polychrome ceramic bowl from Burial 11	Restored polychrome ceramic bowl (beaker)	PREP	2016	2021	249.926	99.000	Photogrammetry	Agisoft Metashape Pro	601001,500	1933368,607	96,909	Mirko De Tomassi	OBJ	B11	Palenque, Group IV		Murciélagos-Balunté	J4	East side	Elaborate Crypt	Individual secondary	Yes	Relleno debajo de lajas completas, vasija encima de relleno, secondario reducido	1	Vessel, fragment of textile																																				
19	PalSep_Model44	13	Artefact	Vessel	41_401		Artefact: Ceramic bowl from Burial 13	Restored incomplete thin-walled ceramic bowl (cajete)	PREP	2016	2021	660.574	99.000	Photogrammetry	Agisoft Metashape Pro	601001,727	1933359,450	96,086	Mirko De Tomassi	OBJ	B13	Palenque, Group IV			Patio		Pit	Mixed	Yes	Reduced primary	1+1?	Two vessels																																				
20	PalSep_Model45	5	Artefact	Vessel	24_401		Artefact: Thumb-impressed ceramic bowl from Burial 5	Thumb-impressed thin-walled ceramic bowl (cajete)	PREP	2016	2021	593.628	99.000	Photogrammetry	Agisoft Metashape Pro	600998,970	1933361,850	96,570	Mirko De Tomassi	OBJ	B5	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Broken covering	10	Quartz crystal, spindle whorl, three vessels, bone needle, obsidian blade																																				
21	PalSep_Model46	5	Artefact	Vessel	14_401		Artefact: Incised ceramic bowl from Burial 5	Ceramic bowl decorated with circunferential incised lines	PREP	2016	2021	963.606	99.000	Photogrammetry	Agisoft Metashape Pro	600999,005	1933361,820	96,644	Mirko De Tomassi	OBJ	B5	Palenque, Group IV		Murciélagos-Balunté	Patio		Simple Crypt	Mixed	Yes	Broken covering	10	Quartz crystal, spindle whorl, three vessels, bone needle, obsidian blade																																				
