Nr	3D-ObjectID	BurialNo	Category	Archaeological_element	CatalogueNo	Individual	Title	Description	Archaeological Project	Fieldseason	Year_digitized	Polygons	Decimated geometry	Digitization Method	Software Used	3D-X	3D-Y	3D-Z	Author	File-Format	Burial	Site	Period	Ceramic_period	Structure	Location	Arquitecture	Deposit	Reopening	Evidence_reopening	MNI	Associated objects	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification	Individual	Sex	Age	Articulation	Position-torso	Position-extremities	Orientation	Cranial_Modification	Dental-modification
54	PalSep_Model115	22	Burial			Individual 22A	Burial: Burial 22, Individual A	Male adult buried in a simple grave made of stacked stone	PREP	2017	2017	9.914.539	98999	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B22	Palenque, Group IV			J6	East side	Simple Crypt	Individual primary	No		1	vessel	S22A	Masculine	45-49 ys	Primary	Supine	Extended	25 E																													
55	PalSep_Model117	23	Burial				Burial: Burial 23, Capstone	Monolithic slab covering Burial 23	PREP	2017	2017	40.149		Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B23	Palenque, Group IV		Murciélagos-Balunté	J6	West side  	Elaborate Crypt	Individual primary	Yes?	Open slab	1	jade beads, bone needle, spindle whorl, obsidian blade, cuenta de jadeita en la mano derecha, otras dos cuentas de jadeita debajo del cráneo, aguja de hueso debajo del cráneo; un malacate plano en el sur (pies); obsidiana?																																				
56	PalSep_Model118	23	Burial			Individual 23A	Burial: Burial 23, Individual A	A female adult individual was buried in this elaborate stone grave covered with a monolithic slab	PREP	2017	2017	7.345.278	99999	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B23	Palenque, Group IV		Murciélagos-Balunté	J6	West side  	Elaborate Crypt	Individual primary	Yes?	Open slab	1	jade beads, bone needle, spindle whorl, obsidian blade, cuenta de jadeita en la mano derecha, otras dos cuentas de jadeita debajo del cráneo, aguja de hueso debajo del cráneo; un malacate plano en el sur (pies); obsidiana?	S23A	Femenine	55-60 ys	Primary	Supine	Extended	20 E																													
57	PalSep_Model121	24	Burial			Individual 24A	Burial: Burial 24, Individual A	A female adult buried in a pit dug near an architectonic feature	PREP	2017	2017	7.338.721	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B24	Palenque, Group IV		Terminos post quem: Murcielago Balunte (ceramica debajo del entierro) (Andreas, informe)	J6	East side	Pit	Individual  	No?		1		S24A	Femenine	50 ys	Secondary?	Supine	Flexed?	8 E																													
58	PalSep_Model126	27	Burial			Individual 27A	Burial: Burial 27, Individual A first layer	A female adult buried in a pit (first layer)	PREP	2017	2017	883.010	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B27	Palenque, Group IV			J7	Front	Pit	Individual primary	No		1	Jade bead	S27A	Femenine	40-44 ys	Primary	Supine?	Flexed?	14 E																													
59	PalSep_Model127	27	Burial			Individual 27A	Burial: Burial 27, Individual A second layer	A female adult buried in a pit (second layer)	PREP	2017	2017	6.071.550	98999	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B27	Palenque, Group IV			J7	Front	Pit	Individual primary	No		1	Jade bead	S27A	Femenine	40-44 ys	Primary	Supine?	Flexed?	14 E																													
60	PalSep_Model128	27	Burial			Individual 27A	Burial: Burial 27, Individual A third layer	A female adult buried in a pit (third layer)	PREP	2017	2017	4.026.202	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B27	Palenque, Group IV			J7	Front	Pit	Individual primary	No		1	Jade bead	S27A	Femenine	40-44 ys	Primary	Supine?	Flexed?	14 E																													
61	PalSep_Model132	29	Burial			Individual 29A	Burial: Burial 29, Individual A	A male young adult buried in a stone box made of thin slabs	PREP	2017	2017	11.138.955	99000	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B29	Palenque, Group IV			J6	West side	Box	Individual  	No?		1	Obsidian blade 	S29A	Masculine	<30 ys	Primario reducido o alterado?	Supine	Flexed?	14 E?																													
62	PalSep_Model135	30	Burial			Individual 30A	Burial: Burial 30, Individual A	The secondary bones of an infant buried within a stone box made of stacked stones	PREP	2017	2017	4.789.698	98999	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B30	Palenque, Group IV			J6	West side	Box	Individual secondary	No	It is not clear whether it is an altered individual or a secondary deposition	1	Antropomorph jade pendant	S30A		Infant	Secondary	Disarticulated	Disarticulated																														
63	PalSep_Model142	35	Burial			Individual 35A	Burial: Burial 35, Individual A	A male adult individual found underneath J6, a structure that functioned as a mausoleum	PREP	2017	2017	13900754	98999	Photogrammetry	Agisoft Metashape Pro				Mirko De Tomassi	OBJ	B35	Palenque, Group IV		Murciélagos-Balunté	J6	Underneath	Elaborate Crypt	Individual primary	Yes?		1	four vessels, two bone needles, spindle whorl, jade beads	S35A	Masculine	54-64 ys	Primary	Supine	Extended																														
